"","Preço_do_Produto","Unidades_Vendidas","Média_da_Nota_do_Produto","Quantidade_de_Avaliações","Preço_de_Varejo","Média_de_Nota_do_Vendedor","Quantidade_de_Avaliações_do_Vendedor"
"1541",5.87,1000,3.91,209,11,4.39130434782609,6187
"1542",7,100,3.7,46,84,3.77946768060837,263
"1543",8,1000,3.97,200,7,3.87091787439614,5175
"1544",7,1000,4.2,107,6,3.94331983805668,247
"1545",8,100,3.83,6,7,3.54502369668246,211
"1546",9,5000,4.28,1120,8,3.92887966129295,24564
"1547",8,1000,3.4,62,7,3.82926829268293,738
"1548",2.71,100,3.4,20,6,3.79744816586922,3762
"1549",12,10000,4.11,2404,87,4.20129848510072,90105
"1550",13,1000,3.99,326,72,4.42043795620438,1370
"1551",3,5000,3.2,1166,3,4.22284644194757,13884
"1552",7,100,3.67,18,6,4.04517020066618,12309
"1553",5,5000,3.2,1185,5,3.88454364585924,32168
"1554",6,100,3.4,5,6,3.625,112
"1555",12,5000,3.68,781,11,3.77663671373556,779
"1556",8,50,4,8,7,4.12790188348664,2283
"1557",7,1000,3.98,129,6,4.27707808564232,794
"1558",9,20000,3.55,7088,76,3.96826880024918,51369
"1559",13,10000,4.12,2901,11,4.14784167701007,14502
"1560",16,100,4.05,82,14,4.21789883268483,514
"1561",7,5000,3.5,774,25,4.19289383561644,11680
"1562",3.87,1000,3.68,62,4,3.62641509433962,265
"1563",4.93,100,3.77,47,6,3.89967327625056,17752
"1564",15,100,3.51,74,92,4.12792106060008,151914
"1565",5.91,1000,3.38,414,5,3.86690291742212,12134
"1566",3,100,3.79,57,8,3.98799019607843,4080
"1567",11,100,3.54,28,134,4.07165109034268,1926
"1568",8,20000,4.25,3127,7,4.15503183955246,16803
"1569",6,10000,4.08,1367,9,4.22460496613995,5316
"1570",2,100,3.07,28,56,3.69605411499436,4435
"1571",5,100,3.71,59,19,3.96190476190476,210
"1572",13,100,2.5,2,11,3.7741935483871,31
"1573",7,100,4.07,14,6,4.23593905738289,7023
